"datetime";"termeles_kW";"cloudCover";"temperature";"humidity";"eromu";"icon";"precipProbability";"precipIntensity";"dewPoint";"apparentTemperature";"Rad";"ForecastOrNot";"GHI";"TOA"
2018-12-16 07:00:00;0;1;-0,76;0,73;"szigetvar_gamma";"cloudy";0;0;-4,98;-4,03;0;0;0;0
2018-12-16 07:15:00;0;1;-0,76;0,745;"szigetvar_gamma";"cloudy";0;0;-4,73;-4,03;0;0;0;0
2018-12-16 07:30:00;0;1;-0,76;0,76;"szigetvar_gamma";"cloudy";0;0;-4,48;-4,03;0;0;0;0
2018-12-16 07:45:00;0;1;-0,76;0,775;"szigetvar_gamma";"cloudy";0;0;-4,23;-4,03;11;0;1,4989;5,7728
2018-12-16 08:00:00;0;1;-0,76;0,79;"szigetvar_gamma";"cloudy";0;0;-3,98;-4,03;33;0;6,1033;18,4199
2018-12-16 08:15:00;0;1;-0,76;0,775;"szigetvar_gamma";"cloudy";0;0;-4,23;-4,1475;54;0;12,1745;30,5793
2018-12-16 08:30:00;0;1;-0,76;0,76;"szigetvar_gamma";"cloudy";0;0;-4,48;-4,265;75;0;19,1206;42,1791
2018-12-16 08:45:00;0,1;1;-0,76;0,745;"szigetvar_gamma";"cloudy";0;0;-4,73;-4,3825;94;0;26,5131;53,1697
2018-12-16 09:00:00;0,299;1;-0,76;0,73;"szigetvar_gamma";"cloudy";0;0;-4,98;-4,5;112;0;34,0411;63,504
2018-12-16 09:15:00;0,299;1;-0,515;0,7175;"szigetvar_gamma";"cloudy";0;0;-4,98;-4,205;128;0;41,4727;73,1377
2018-12-16 09:30:00;0,698;1;-0,27;0,705;"szigetvar_gamma";"cloudy";0;0;-4,98;-3,91;143;0;48,6295;82,0296
2018-12-16 09:45:00;1,097;1;-0,025;0,6925;"szigetvar_gamma";"cloudy";0;0;-4,98;-3,615;157;0;55,3887;90,1416
2018-12-16 10:00:00;1,097;1;0,22;0,68;"szigetvar_gamma";"cloudy";0;0;-4,98;-3,32;169;0;61,6645;97,4391
2018-12-16 10:15:00;0,998;1;0,22;0,6675;"szigetvar_gamma";"cloudy";0;0;-5,23;-3,0675;179;0;67,3206;103,8907
2018-12-16 10:30:00;0,898;1;0,22;0,655;"szigetvar_gamma";"cloudy";0;0;-5,48;-2,815;188;0;72,2904;109,4689
2018-12-16 10:45:00;1,297;1;0,22;0,6425;"szigetvar_gamma";"cloudy";0;0;-5,73;-2,5625;195;0;76,545;114,1497
2018-12-16 11:00:00;1,995;1;0,22;0,63;"szigetvar_gamma";"cloudy";0;0;-5,98;-2,31;201;0;80,0459;117,9131
2018-12-16 11:15:00;2,594;0,9375;0,22;0,63;"szigetvar_gamma";"partly-cloudy-day";0;0;-5,98;-2,31;205;0;82,7639;120,7431
2018-12-16 11:30:00;3,193;0,875;0,22;0,63;"szigetvar_gamma";"partly-cloudy-day";0;0;-5,98;-2,31;207;0;84,6777;122,6274
2018-12-16 11:45:00;3,592;0,8125;0,22;0,63;"szigetvar_gamma";"partly-cloudy-day";0;0;-5,98;-2,31;207;0;85,773;123,558
2018-12-16 12:00:00;4,29;0,75;0,22;0,63;"szigetvar_gamma";"partly-cloudy-day";0;0;-5,98;-2,31;205;0;86,0423;123,531
