 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.07.01. 0:15;0,000;W;E (1);
2018.07.01. 0:30;0,000;W;E (1);
2018.07.01. 0:45;0,000;W;E (1);
2018.07.01. 1:00;0,000;W;E (1);
2018.07.01. 1:15;0,000;W;E (1);
2018.07.01. 1:30;0,000;W;E (1);
2018.07.01. 1:45;0,000;W;E (1);
2018.07.01. 2:00;0,000;W;E (1);
2018.07.01. 2:15;0,000;W;E (1);
2018.07.01. 2:30;0,000;W;E (1);
2018.07.01. 2:45;0,000;W;E (1);
2018.07.01. 3:00;0,000;W;E (1);
2018.07.01. 3:15;0,000;W;E (1);
2018.07.01. 3:30;0,000;W;E (1);
2018.07.01. 3:45;0,000;W;E (1);
2018.07.01. 4:00;0,000;W;E (1);
2018.07.01. 4:15;0,000;W;E (1);
2018.07.01. 4:30;0,000;W;E (1);
2018.07.01. 4:45;0,000;W;E (1);
2018.07.01. 5:00;0,000;W;E (1);
2018.07.01. 5:15;1,896;W;E (1);
2018.07.01. 5:30;6,086;W;E (1);
2018.07.01. 5:45;10,277;W;E (1);
2018.07.01. 6:00;14,767;W;E (1);
2018.07.01. 6:15;19,556;W;E (1);
2018.07.01. 6:30;28,736;W;E (1);
2018.07.01. 6:45;47,793;W;E (1);
2018.07.01. 7:00;71,241;W;E (1);
2018.07.01. 7:15;87,704;W;E (1);
2018.07.01. 7:30;110,653;W;E (1);
2018.07.01. 7:45;132,405;W;E (1);
2018.07.01. 8:00;163,136;W;E (1);
2018.07.01. 8:15;193,768;W;E (1);
2018.07.01. 8:30;220,708;W;E (1);
2018.07.01. 8:45;246,351;W;E (1);
2018.07.01. 9:00;273,590;W;E (1);
2018.07.01. 9:15;296,340;W;E (1);
2018.07.01. 9:30;291,650;W;E (1);
2018.07.01. 9:45;255,730;W;E (1);
2018.07.01. 10:00;268,103;W;E (1);
2018.07.01. 10:15;230,088;W;E (1);
2018.07.01. 10:30;235,076;W;E (1);
2018.07.01. 10:45;271,695;W;E (1);
2018.07.01. 11:00;307,814;W;E (1);
2018.07.01. 11:15;265,708;W;E (1);
2018.07.01. 11:30;385,042;W;E (1);
2018.07.01. 11:45;459,177;W;E (1);
2018.07.01. 12:00;337,548;W;E (1);
2018.07.01. 12:15;464,466;W;E (1);
2018.07.01. 12:30;467,160;W;E (1);
2018.07.01. 12:45;467,060;W;E (1);
2018.07.01. 13:00;465,762;W;E (1);
2018.07.01. 13:15;466,860;W;E (1);
2018.07.01. 13:30;467,259;W;E (1);
2018.07.01. 13:45;464,366;W;E (1);
2018.07.01. 14:00;462,769;W;E (1);
2018.07.01. 14:15;458,678;W;E (1);
2018.07.01. 14:30;454,388;W;E (1);
2018.07.01. 14:45;448,401;W;E (1);
2018.07.01. 15:00;447,304;W;E (1);
2018.07.01. 15:15;457,581;W;E (1);
2018.07.01. 15:30;416,672;W;E (1);
2018.07.01. 15:45;356,306;W;E (1);
2018.07.01. 16:00;370,874;W;E (1);
2018.07.01. 16:15;349,122;W;E (1);
2018.07.01. 16:30;330,264;W;E (1);
2018.07.01. 16:45;299,932;W;E (1);
2018.07.01. 17:00;268,502;W;E (1);
2018.07.01. 17:15;248,946;W;E (1);
2018.07.01. 17:30;213,724;W;E (1);
2018.07.01. 17:45;182,693;W;E (1);
2018.07.01. 18:00;153,558;W;E (1);
2018.07.01. 18:15;124,522;W;E (1);
2018.07.01. 18:30;86,208;W;E (1);
2018.07.01. 18:45;37,915;W;E (1);
2018.07.01. 19:00;45,099;W;E (1);
2018.07.01. 19:15;28,137;W;E (1);
2018.07.01. 19:30;17,461;W;E (1);
2018.07.01. 19:45;13,270;W;E (1);
2018.07.01. 20:00;10,576;W;E (1);
2018.07.01. 20:15;7,583;W;E (1);
2018.07.01. 20:30;4,290;W;E (1);
2018.07.01. 20:45;1,197;W;E (1);
2018.07.01. 21:00;0,000;W;E (1);
2018.07.01. 21:15;0,000;W;E (1);
2018.07.01. 21:30;0,000;W;E (1);
2018.07.01. 21:45;0,000;W;E (1);
2018.07.01. 22:00;0,000;W;E (1);
2018.07.01. 22:15;0,000;W;E (1);
2018.07.01. 22:30;0,000;W;E (1);
2018.07.01. 22:45;0,000;W;E (1);
2018.07.01. 23:00;0,000;W;E (1);
2018.07.01. 23:15;0,000;W;E (1);
2018.07.01. 23:30;0,000;W;E (1);
2018.07.01. 23:45;0,000;W;E (1);
2018.07.02. 0:00;0,000;W;E (1);
2018.07.02. 0:15;0,000;W;E (1);
2018.07.02. 0:30;0,000;W;E (1);
2018.07.02. 0:45;0,000;W;E (1);
2018.07.02. 1:00;0,000;W;E (1);
2018.07.02. 1:15;0,000;W;E (1);
2018.07.02. 1:30;0,000;W;E (1);
2018.07.02. 1:45;0,000;W;E (1);
2018.07.02. 2:00;0,000;W;E (1);
2018.07.02. 2:15;0,000;W;E (1);
2018.07.02. 2:30;0,000;W;E (1);
2018.07.02. 2:45;0,000;W;E (1);
2018.07.02. 3:00;0,000;W;E (1);
2018.07.02. 3:15;0,000;W;E (1);
2018.07.02. 3:30;0,000;W;E (1);
2018.07.02. 3:45;0,000;W;E (1);
2018.07.02. 4:00;0,000;W;E (1);
2018.07.02. 4:15;0,000;W;E (1);
2018.07.02. 4:30;0,000;W;E (1);
2018.07.02. 4:45;0,000;W;E (1);
2018.07.02. 5:00;0,000;W;E (1);
2018.07.02. 5:15;1,297;W;E (1);
2018.07.02. 5:30;6,286;W;E (1);
2018.07.02. 5:45;10,576;W;E (1);
2018.07.02. 6:00;12,073;W;E (1);
2018.07.02. 6:15;24,545;W;E (1);
2018.07.02. 6:30;38,215;W;E (1);
2018.07.02. 6:45;39,711;W;E (1);
2018.07.02. 7:00;69,844;W;E (1);
2018.07.02. 7:15;94,789;W;E (1);
2018.07.02. 7:30;101,574;W;E (1);
2018.07.02. 7:45;105,964;W;E (1);
2018.07.02. 8:00;141,984;W;E (1);
2018.07.02. 8:15;156,152;W;E (1);
2018.07.02. 8:30;161,640;W;E (1);
2018.07.02. 8:45;129,212;W;E (1);
2018.07.02. 9:00;138,092;W;E (1);
2018.07.02. 9:15;154,256;W;E (1);
2018.07.02. 9:30;187,582;W;E (1);
2018.07.02. 9:45;252,538;W;E (1);
2018.07.02. 10:00;284,167;W;E (1);
2018.07.02. 10:15;316,994;W;E (1);
2018.07.02. 10:30;215,021;W;E (1);
2018.07.02. 10:45;204,744;W;E (1);
2018.07.02. 11:00;201,950;W;E (1);
2018.07.02. 11:15;315,597;W;E (1);
2018.07.02. 11:30;236,374;W;E (1);
2018.07.02. 11:45;291,550;W;E (1);
2018.07.02. 12:00;370,974;W;E (1);
2018.07.02. 12:15;403,002;W;E (1);
2018.07.02. 12:30;369,776;W;E (1);
2018.07.02. 12:45;324,477;W;E (1);
2018.07.02. 13:00;392,326;W;E (1);
2018.07.02. 13:15;394,422;W;E (1);
2018.07.02. 13:30;354,410;W;E (1);
2018.07.02. 13:45;300,730;W;E (1);
2018.07.02. 14:00;368,180;W;E (1);
2018.07.02. 14:15;294,244;W;E (1);
2018.07.02. 14:30;303,224;W;E (1);
2018.07.02. 14:45;325,276;W;E (1);
2018.07.02. 15:00;259,921;W;E (1);
2018.07.02. 15:15;261,318;W;E (1);
