"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"ForecastOrNot";"GHI";"TOA";"predicted_P"
2019-03-08 00:00:00;1551999600;"Overcast";"cloudy";0;0;14.29;14.29;4.77;0.53;1011.74;3.47;4.22;209;1;0;16.09;323.72;"rain";0;1;0;0;0
2019-03-08 00:15:00;1552000500;"Overcast";"cloudy";0;0;14.245;14.245;4.8625;0.535;1011.815;3.4525;4.19;208.5;1;0;16.09;323.865;"rain";0;1;0;0;0
2019-03-08 00:30:00;1552001400;"Overcast";"cloudy";0;0;14.2;14.2;4.955;0.54;1011.89;3.435;4.16;208;1;0;16.09;324.01;"rain";0;1;0;0;0
2019-03-08 00:45:00;1552002300;"Overcast";"cloudy";0;0;14.155;14.155;5.0475;0.545;1011.965;3.4175;4.13;207.5;1;0;16.09;324.155;"rain";0;1;0;0;0
2019-03-08 01:00:00;1552003200;"Overcast";"cloudy";0;0;14.11;14.11;5.14;0.55;1012.04;3.4;4.1;207;1;0;16.09;324.3;"rain";0;1;0;0;0
2019-03-08 01:15:00;1552004100;"Overcast";"cloudy";0;0;14.0475;14.0475;5.2125;0.555;1012.1025;3.405;4.1125;207.5;1;0;16.09;324.2775;"rain";0;1;0;0;0
2019-03-08 01:30:00;1552005000;"Overcast";"cloudy";0;0;13.985;13.985;5.285;0.56;1012.165;3.41;4.125;208;1;0;16.09;324.255;"rain";0;1;0;0;0
2019-03-08 01:45:00;1552005900;"Overcast";"cloudy";0;0;13.9225;13.9225;5.3575;0.565;1012.2275;3.415;4.1375;208.5;1;0;16.09;324.2325;"rain";0;1;0;0;0
2019-03-08 02:00:00;1552006800;"Overcast";"cloudy";0;0;13.86;13.86;5.43;0.57;1012.29;3.42;4.15;209;1;0;16.09;324.21;"rain";0;1;0;0;0
2019-03-08 02:15:00;1552007700;"Overcast";"cloudy";0;0;13.8025;13.8025;5.4925;0.575;1012.345;3.44;4.1925;209.75;1;0;16.09;324.1175;"rain";0;1;0;0;0
2019-03-08 02:30:00;1552008600;"Overcast";"cloudy";0;0;13.745;13.745;5.555;0.58;1012.4;3.46;4.235;210.5;1;0;16.09;324.025;"rain";0;1;0;0;0
2019-03-08 02:45:00;1552009500;"Overcast";"cloudy";0;0;13.6875;13.6875;5.6175;0.585;1012.455;3.48;4.2775;211.25;1;0;16.09;323.9325;"rain";0;1;0;0;0
2019-03-08 03:00:00;1552010400;"Overcast";"cloudy";0;0;13.63;13.63;5.68;0.59;1012.51;3.5;4.32;212;1;0;16.09;323.84;"rain";0;1;0;0;0
2019-03-08 03:15:00;1552011300;"Overcast";"cloudy";0;0;13.515;13.515;5.705;0.595;1012.5925;3.5175;4.3525;212.75;1;0;16.09;323.82;"rain";0;1;0;0;0
