"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
2019-03-21 00:00:00;1553122800;"Clear";"clear-night";0;0;4.13;2.14;-3.43;0.58;1035.57;2.21;3.28;3;0;0;16.09;320.09;"rain";0;0;0;1;0
2019-03-21 00:15:00;1553123700;"Clear";"clear-night";0;0;3.9825;2.025;-3.4225;0.585;1035.605;2.155;3.245;2.25;0;0;16.09;319.7325;"rain";0;0;0;1;0
2019-03-21 00:30:00;1553124600;"Clear";"clear-night";0;0;3.835;1.91;-3.415;0.59;1035.64;2.1;3.21;1.5;0;0;16.09;319.375;"rain";0;0;0;1;0
2019-03-21 00:45:00;1553125500;"Clear";"clear-night";0;0;3.6875;1.795;-3.4075;0.595;1035.675;2.045;3.175;0.75;0;0;16.09;319.0175;"rain";0;0;0;1;0
2019-03-21 01:00:00;1553126400;"Clear";"clear-night";0;0;3.54;1.68;-3.4;0.6;1035.71;1.99;3.14;0;0;0;16.09;318.66;"rain";0;0;0;1;0
2019-03-21 01:15:00;1553127300;"Clear";"clear-night";0;0;3.3825;1.4875;-3.43;0.6075;1035.695;2;3.0875;0.25;0;0;16.09;318.16;"rain";0;0;0;1;0
2019-03-21 01:30:00;1553128200;"Clear";"clear-night";0;0;3.225;1.295;-3.46;0.615;1035.68;2.01;3.035;0.5;0;0;16.09;317.66;"rain";0;0;0;1;0
2019-03-21 01:45:00;1553129100;"Clear";"clear-night";0;0;3.0675;1.1025;-3.49;0.6225;1035.665;2.02;2.9825;0.75;0;0;16.09;317.16;"rain";0;0;0;1;0
2019-03-21 02:00:00;1553130000;"Clear";"clear-night";0;0;2.91;0.91;-3.52;0.63;1035.65;2.03;2.93;1;0;0;16.09;316.66;"rain";0;0;0;1;0
2019-03-21 02:15:00;1553130900;"Clear";"clear-night";0;0;2.765;0.7;-3.555;0.635;1035.615;2.0625;2.87;1.5;0;0;16.09;316.0725;"rain";0;0;0;1;0
2019-03-21 02:30:00;1553131800;"Clear";"clear-night";0;0;2.62;0.49;-3.59;0.64;1035.58;2.095;2.81;2;0;0;16.09;315.485;"rain";0;0;0;1;0
2019-03-21 02:45:00;1553132700;"Clear";"clear-night";0;0;2.475;0.28;-3.625;0.645;1035.545;2.1275;2.75;2.5;0;0;16.09;314.8975;"rain";0;0;0;1;0
2019-03-21 03:00:00;1553133600;"Clear";"clear-night";0;0;2.33;0.07;-3.66;0.65;1035.51;2.16;2.69;3;0;0;16.09;314.31;"rain";0;0;0;1;0
2019-03-21 03:15:00;1553134500;"Clear";"clear-night";0;0;2.1775;-0.1175;-3.67;0.655;1035.4975;2.1675;2.6425;3.5;0;0;16.09;313.7675;"rain";0;0;0;1;0
2019-03-21 03:30:00;1553135400;"Clear";"clear-night";0;0;2.025;-0.305;-3.68;0.66;1035.485;2.175;2.595;4;0;0;16.09;313.225;"rain";0;0;0;1;0
