"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-02 00:00:00;1554156000;"Clear";"clear-night";0;0;11.19;11.19;-0.51;0.44;1019.74;4.37;11.7;63;0.01;0;16.09;354.55;"rain";0;0;0;1;4;0
2019-04-02 00:15:00;1554156900;"Clear";"clear-night";0;0;10.9275;10.9275;-0.7225;0.4425;1019.79;4.3025;11.4125;62.75;0.01;0;16.09;354.4825;"rain";0;0;0;1;4;0
2019-04-02 00:30:00;1554157800;"Clear";"clear-night";0;0;10.665;10.665;-0.935;0.445;1019.84;4.235;11.125;62.5;0.01;0;16.09;354.415;"rain";0;0;0;1;4;0
2019-04-02 00:45:00;1554158700;"Clear";"clear-night";0;0;10.4025;10.4025;-1.1475;0.4475;1019.89;4.1675;10.8375;62.25;0.01;0;16.09;354.3475;"rain";0;0;0;1;4;0
2019-04-02 01:00:00;1554159600;"Clear";"clear-night";0;0;10.14;10.14;-1.36;0.45;1019.94;4.1;10.55;62;0.01;0;16.09;354.28;"rain";0;0;0;1;4;0
2019-04-02 01:15:00;1554160500;"Clear";"clear-night";0;0;9.8725;9.3375;-1.5125;0.4525;1019.9575;4.035;10.2325;61.5;0.01;0;16.09;354.155;"rain";0;0;0;1;4;0
2019-04-02 01:30:00;1554161400;"Clear";"clear-night";0;0;9.605;8.535;-1.665;0.455;1019.975;3.97;9.915;61;0.01;0;16.09;354.03;"rain";0;0;0;1;4;0
2019-04-02 01:45:00;1554162300;"Clear";"clear-night";0;0;9.3375;7.7325;-1.8175;0.4575;1019.9925;3.905;9.5975;60.5;0.01;0;16.09;353.905;"rain";0;0;0;1;4;0
2019-04-02 02:00:00;1554163200;"Clear";"clear-night";0;0;9.07;6.93;-1.97;0.46;1020.01;3.84;9.28;60;0.01;0;16.09;353.78;"rain";0;0;0;1;4;0
2019-04-02 02:15:00;1554164100;"Clear";"clear-night";0;0;8.815;6.6525;-2.0475;0.465;1020;3.7775;8.9275;60.25;0.0075;0;16.09;353.5925;"rain";0;0;0;1;4;0
2019-04-02 02:30:00;1554165000;"Clear";"clear-night";0;0;8.56;6.375;-2.125;0.47;1019.99;3.715;8.575;60.5;0.005;0;16.09;353.405;"rain";0;0;0;1;4;0
2019-04-02 02:45:00;1554165900;"Clear";"clear-night";0;0;8.305;6.0975;-2.2025;0.475;1019.98;3.6525;8.2225;60.75;0.0025;0;16.09;353.2175;"rain";0;0;0;1;4;0
2019-04-02 03:00:00;1554166800;"Clear";"clear-night";0;0;8.05;5.82;-2.28;0.48;1019.97;3.59;7.87;61;0;0;16.09;353.03;"rain";0;0;0;1;4;0
2019-04-02 03:15:00;1554167700;"Clear";"clear-night";0;0;7.7925;5.5375;-2.295;0.4875;1019.93;3.5325;7.4875;61.5;0;0;16.09;352.785;"rain";0;0;0;1;4;0
2019-04-02 03:30:00;1554168600;"Clear";"clear-night";0;0;7.535;5.255;-2.31;0.495;1019.89;3.475;7.105;62;0;0;16.09;352.54;"rain";0;0;0;1;4;0
2019-04-02 03:45:00;1554169500;"Clear";"clear-night";0;0;7.2775;4.9725;-2.325;0.5025;1019.85;3.4175;6.7225;62.5;0;0;16.09;352.295;"rain";0;0;0;1;4;0
2019-04-02 04:00:00;1554170400;"Clear";"clear-night";0;0;7.02;4.69;-2.34;0.51;1019.81;3.36;6.34;63;0;0;16.09;352.05;"rain";0;0;0;1;4;0
2019-04-02 04:15:00;1554171300;"Clear";"clear-night";0;0;6.8475;4.51;-2.3125;0.5175;1019.775;3.32;6.0525;63.5;0;0;16.09;351.84;"rain";0;0;0;1;4;0
2019-04-02 04:30:00;1554172200;"Clear";"clear-night";0;0;6.675;4.33;-2.285;0.525;1019.74;3.28;5.765;64;0;0;16.09;351.63;"rain";0;0;0;1;4;0
2019-04-02 04:45:00;1554173100;"Clear";"clear-night";0;0;6.5025;4.15;-2.2575;0.5325;1019.705;3.24;5.4775;64.5;0;0;16.09;351.42;"rain";0;0;0;1;4;0
2019-04-02 05:00:00;1554174000;"Clear";"clear-night";0;0;6.33;3.97;-2.23;0.54;1019.67;3.2;5.19;65;0;0;16.09;351.21;"rain";0;0;0;1;4;0
2019-04-02 05:15:00;1554174900;"Clear";"clear-night";0;0;6.255;3.8825;-2.155;0.5475;1019.6625;3.195;5.085;65.5;0;0;16.09;351.11;"rain";0;0;0;1;4;0
2019-04-02 05:30:00;1554175800;"Clear";"clear-night";0;0;6.18;3.795;-2.08;0.555;1019.655;3.19;4.98;66;0;0;16.09;351.01;"rain";3;0;0;1;4;0
2019-04-02 05:45:00;1554176700;"Clear";"clear-night";0;0;6.105;3.7075;-2.005;0.5625;1019.6475;3.185;4.875;66.5;0;0;16.09;350.91;"rain";27;0;0;1;4;0
2019-04-02 06:00:00;1554177600;"Clear";"clear-night";0;0;6.03;3.62;-1.93;0.57;1019.64;3.18;4.77;67;0;0;16.09;350.81;"rain";56;0;0;1;4;0
2019-04-02 06:15:00;1554178500;"Clear";"clear-day";0;0;6.0475;3.6325;-1.805;0.5725;1019.6375;3.1925;4.76;67.5;0;0;16.09;350.7525;"rain";85;0;0;1;4;0
2019-04-02 06:30:00;1554179400;"Clear";"clear-day";0;0;6.065;3.645;-1.68;0.575;1019.635;3.205;4.75;68;0;0;16.09;350.695;"rain";114;0;0;1;4;0
2019-04-02 06:45:00;1554180300;"Clear";"clear-day";0;0;6.0825;3.6575;-1.555;0.5775;1019.6325;3.2175;4.74;68.5;0;0;16.09;350.6375;"rain";142;1.3776;6.514;1;4;21
2019-04-02 07:00:00;1554181200;"Clear";"clear-day";0;0;6.1;3.67;-1.43;0.58;1019.63;3.23;4.73;69;0;0;16.09;350.58;"rain";170;5.7048;21.9211;1;4;41
2019-04-02 07:15:00;1554182100;"Clear";"clear-day";0;0;6.3325;3.96;-1.2575;0.58;1019.6075;3.215;4.6775;70;0;0;16.09;350.475;"rain";197;11.5615;37.3519;1;4;54
2019-04-02 07:30:00;1554183000;"Clear";"clear-day";0;0;6.565;4.25;-1.085;0.58;1019.585;3.2;4.625;71;0;0;16.09;350.37;"rain";223;18.7968;52.7156;1;4;62
2019-04-02 07:45:00;1554183900;"Clear";"clear-day";0;0;6.7975;4.54;-0.9125;0.58;1019.5625;3.185;4.5725;72;0;0;16.09;350.265;"rain";248;27.21;67.9465;1;4;84
2019-04-02 08:00:00;1554184800;"Clear";"clear-day";0;0;7.03;4.83;-0.74;0.58;1019.54;3.17;4.52;73;0;0;16.09;350.16;"rain";273;36.5729;82.9795;1;4;104
2019-04-02 08:15:00;1554185700;"Clear";"clear-day";0;0;7.54;5.5;-0.49;0.57;1019.4925;3.085;4.34;74;0;0.25;16.09;350.005;"rain";296;46.6616;97.7503;1;4;168
