"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"precipType";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-11 00:00:00;1554933600;"Rain";"rain";1.7043;0.69;"rain";13.63;13.63;10.71;0.83;1006.25;2.13;3.85;53;1;0;6.82;341.01;0;0;0;1;4;0
2019-04-11 00:15:00;1554934500;"Light Rain";"rain";1.6154;0.695;"rain";13.4425;13.4425;10.8225;0.845;1006.255;2.105;3.8575;52;1;0;6.675;341.0375;0;0;0;1;4;0
2019-04-11 00:30:00;1554935400;"Light Rain";"rain";1.5265;0.7;"rain";13.255;13.255;10.935;0.86;1006.26;2.08;3.865;51;1;0;6.53;341.065;0;0;0;1;4;0
2019-04-11 00:45:00;1554936300;"Light Rain";"rain";1.4376;0.705;"rain";13.0675;13.0675;11.0475;0.875;1006.265;2.055;3.8725;50;1;0;6.385;341.0925;0;0;0;1;4;0
2019-04-11 01:00:00;1554937200;"Light Rain";"rain";1.3487;0.71;"rain";12.88;12.88;11.16;0.89;1006.27;2.03;3.88;49;1;0;6.24;341.12;0;0;0;1;4;0
2019-04-11 01:15:00;1554938100;"Light Rain";"rain";1.294725;0.715;"rain";12.735;12.735;11.235;0.905;1006.2675;2.0575;3.915;51.75;1;0;6.19;341.13;0;0;0;1;4;0
2019-04-11 01:30:00;1554939000;"Light Rain";"rain";1.24075;0.72;"rain";12.59;12.59;11.31;0.92;1006.265;2.085;3.95;54.5;1;0;6.14;341.14;0;0;0;1;4;0
2019-04-11 01:45:00;1554939900;"Light Rain";"rain";1.186775;0.725;"rain";12.445;12.445;11.385;0.935;1006.2625;2.1125;3.985;57.25;1;0;6.09;341.15;0;0;0;1;4;0
2019-04-11 02:00:00;1554940800;"Light Rain";"rain";1.1328;0.73;"rain";12.3;12.3;11.46;0.95;1006.26;2.14;4.02;60;1;0;6.04;341.16;0;0;0;1;4;0
2019-04-11 02:15:00;1554941700;"Light Rain";"rain";1.0566;0.7175;"rain";12.2175;12.2175;11.4575;0.955;1006.2625;2.195;4.065;62.25;1;0;6.1875;341.13;0;0;0;1;4;0
2019-04-11 02:30:00;1554942600;"Light Rain";"rain";0.9804;0.705;"rain";12.135;12.135;11.455;0.96;1006.265;2.25;4.11;64.5;1;0;6.335;341.1;0;0;0;1;4;0
