"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-05-20 00:00:00;1558303200;"Overcast";"cloudy";0.4445;0.47;13.76;13.76;12.52;0.92;1004.45;1.64;2.75;225;1;0;8.47;336.31;0;0;0;1;5;0
2019-05-20 00:15:00;1558304100;"Overcast";"cloudy";0.452125;0.4625;13.7;13.7;12.51;0.9225;1004.4925;1.7475;3.16;228.25;1;0;7.17;336.62;0;0;0;1;5;0
2019-05-20 00:30:00;1558305000;"Overcast";"cloudy";0.45975;0.455;13.64;13.64;12.5;0.925;1004.535;1.855;3.57;231.5;1;0;5.87;336.93;0;0;0;1;5;0
2019-05-20 00:45:00;1558305900;"Overcast";"cloudy";0.467375;0.4475;13.58;13.58;12.49;0.9275;1004.5775;1.9625;3.98;234.75;1;0;4.57;337.24;0;0;0;1;5;0
2019-05-20 01:00:00;1558306800;"Overcast";"cloudy";0.475;0.44;13.52;13.52;12.48;0.93;1004.62;2.07;4.39;238;1;0;3.27;337.55;0;0;0;1;5;0
2019-05-20 01:15:00;1558307700;"Overcast";"cloudy";0.46865;0.42;13.435;13.435;12.4375;0.9325;1004.655;2.1325;4.69;238.5;1;0;2.875;338.0525;0;0;0;1;5;0
2019-05-20 01:30:00;1558308600;"Overcast";"cloudy";0.4623;0.4;13.35;13.35;12.395;0.935;1004.69;2.195;4.99;239;1;0;2.48;338.555;0;0;0;1;5;0
2019-05-20 01:45:00;1558309500;"Overcast";"cloudy";0.45595;0.38;13.265;13.265;12.3525;0.9375;1004.725;2.2575;5.29;239.5;1;0;2.085;339.0575;0;0;0;1;5;0
2019-05-20 02:00:00;1558310400;"Foggy";"fog";0.4496;0.36;13.18;13.18;12.31;0.94;1004.76;2.32;5.59;240;1;0;1.69;339.56;0;0;0;1;5;0
2019-05-20 02:15:00;1558311300;"Foggy";"fog";0.399425;0.335;12.975;12.975;12.1725;0.945;1004.7825;2.29;5.6225;236;0.9925;0;3.005;340.385;0;0;0;1;5;0
2019-05-20 02:30:00;1558312200;"Foggy";"fog";0.34925;0.31;12.77;12.77;12.035;0.95;1004.805;2.26;5.655;232;0.985;0;4.32;341.21;0;0;0;1;5;0
2019-05-20 02:45:00;1558313100;"Foggy";"fog";0.299075;0.285;12.565;12.565;11.8975;0.955;1004.8275;2.23;5.6875;228;0.9775;0;5.635;342.035;0;0;0;1;5;0
2019-05-20 03:00:00;1558314000;"Overcast";"cloudy";0.2489;0.26;12.36;12.36;11.76;0.96;1004.85;2.2;5.72;224;0.97;0;6.95;342.86;0;0;0;1;5;0
2019-05-20 03:15:00;1558314900;"Overcast";"cloudy";0.201275;0.2225;12.1425;12.1425;11.5875;0.9625;1004.865;2.1325;5.64;217.75;0.9575;0;9.1675;343.885;0;0;0;1;5;0
2019-05-20 03:30:00;1558315800;"Overcast";"cloudy";0.15365;0.185;11.925;11.925;11.415;0.965;1004.88;2.065;5.56;211.5;0.945;0;11.385;344.91;0;0;0;1;5;0
2019-05-20 03:45:00;1558316700;"Overcast";"cloudy";0.106025;0.1475;11.7075;11.7075;11.2425;0.9675;1004.895;1.9975;5.48;205.25;0.9325;0;13.6025;345.935;0;0;0;1;5;0
2019-05-20 04:00:00;1558317600;"Mostly Cloudy";"partly-cloudy-night";0.0584;0.11;11.49;11.49;11.07;0.97;1004.91;1.93;5.4;199;0.92;0;15.82;346.96;0;0;0;1;5;0
2019-05-20 04:15:00;1558318500;"Mostly Cloudy";"partly-cloudy-night";0.045075;0.0875;11.43;11.43;10.9875;0.97;1004.9425;1.91;5.3925;195;0.9025;0;15.8875;347.835;0;0;0;1;5;0
2019-05-20 04:30:00;1558319400;"Mostly Cloudy";"partly-cloudy-night";0.03175;0.065;11.37;11.37;10.905;0.97;1004.975;1.89;5.385;191;0.885;0;15.955;348.71;13;0;0;1;5;0
2019-05-20 04:45:00;1558320300;"Mostly Cloudy";"partly-cloudy-night";0.018425;0.0425;11.31;11.31;10.8225;0.97;1005.0075;1.87;5.3775;187;0.8675;0;16.0225;349.585;40;0;0;1;5;0
2019-05-20 05:00:00;1558321200;"Mostly Cloudy";"partly-cloudy-night";0.0051;0.02;11.25;11.25;10.74;0.97;1005.04;1.85;5.37;183;0.85;0;16.09;350.46;67;0;0;1;5;0
2019-05-20 05:15:00;1558322100;"Mostly Cloudy";"partly-cloudy-night";0.007;0.0275;11.4275;11.4275;10.845;0.965;1005.0875;1.9175;5.55;182.75;0.82;0;16.09;351.155;94;0;0;1;5;0
2019-05-20 05:30:00;1558323000;"Mostly Cloudy";"partly-cloudy-night";0.0089;0.035;11.605;11.605;10.95;0.96;1005.135;1.985;5.73;182.5;0.79;0;16.09;351.85;121;1.2773;5.4535;1;5;3
2019-05-20 05:45:00;1558323900;"Mostly Cloudy";"partly-cloudy-night";0.0108;0.0425;11.7825;11.7825;11.055;0.955;1005.1825;2.0525;5.91;182.25;0.76;0;16.09;352.545;149;5.7032;18.8419;1;5;6
2019-05-20 06:00:00;1558324800;"Mostly Cloudy";"partly-cloudy-day";0.0127;0.05;11.96;11.96;11.16;0.95;1005.23;2.12;6.09;182;0.73;0;16.09;353.24;176;12.0187;32.5441;1;5;16
2019-05-20 06:15:00;1558325700;"Mostly Cloudy";"partly-cloudy-day";0.026675;0.0625;12.3475;12.3475;11.3625;0.9375;1005.2925;2.2375;6.3425;183.5;0.69;0;16.09;353.785;203;19.818;46.4579;1;5;21
2019-05-20 06:30:00;1558326600;"Mostly Cloudy";"partly-cloudy-day";0.04065;0.075;12.735;12.735;11.565;0.925;1005.355;2.355;6.595;185;0.65;0;16.09;354.33;231;28.7729;60.5239;1;5;30
2019-05-20 06:45:00;1558327500;"Mostly Cloudy";"partly-cloudy-day";0.054625;0.0875;13.1225;13.1225;11.7675;0.9125;1005.4175;2.4725;6.8475;186.5;0.61;0;16.09;354.875;257;38.6123;74.6817;1;5;42
2019-05-20 07:00:00;1558328400;"Partly Cloudy";"partly-cloudy-day";0.0686;0.1;13.51;13.51;11.97;0.9;1005.48;2.59;7.1;188;0.57;0;16.09;355.42;283;49.111;88.8709;1;5;54
2019-05-20 07:15:00;1558329300;"Partly Cloudy";"partly-cloudy-day";0.080025;0.11;13.9175;13.9175;12.1125;0.885;1005.545;2.725;7.275;190;0.535;0.25;16.09;355.6325;309;60.08;103.0308;1;5;70
2019-05-20 07:30:00;1558330200;"Partly Cloudy";"partly-cloudy-day";0.09145;0.12;14.325;14.325;12.255;0.87;1005.61;2.86;7.45;192;0.5;0.5;16.09;355.845;334;71.3594;117.1006;1;5;102
2019-05-20 07:45:00;1558331100;"Partly Cloudy";"partly-cloudy-day";0.102875;0.13;14.7325;14.7325;12.3975;0.855;1005.675;2.995;7.625;194;0.465;0.75;16.09;356.0575;357;82.8119;131.0203;1;5;129
2019-05-20 08:00:00;1558332000;"Partly Cloudy";"partly-cloudy-day";0.1143;0.14;15.14;15.14;12.54;0.84;1005.74;3.13;7.8;196;0.43;1;16.09;356.27;380;94.319;144.7301;1;5;154
2019-05-20 08:15:00;1558332900;"Partly Cloudy";"partly-cloudy-day";0.102875;0.1275;15.43;15.43;12.565;0.8275;1005.8125;3.305;7.81;198.75;0.3875;1.5;16.09;355.9825;402;105.768;158.1716;1;5;178
2019-05-20 08:30:00;1558333800;"Partly Cloudy";"partly-cloudy-day";0.09145;0.115;15.72;15.72;12.59;0.815;1005.885;3.48;7.82;201.5;0.345;2;16.09;355.695;423;117.0654;171.2872;1;5;194
2019-05-20 08:45:00;1558334700;"Partly Cloudy";"partly-cloudy-day";0.080025;0.1025;16.01;16.01;12.615;0.8025;1005.9575;3.655;7.83;204.25;0.3025;2.5;16.09;355.4075;443;128.1376;184.0207;1;5;208
2019-05-20 09:00:00;1558335600;"Partly Cloudy";"partly-cloudy-day";0.0686;0.09;16.3;16.3;12.64;0.79;1006.03;3.83;7.84;207;0.26;3;16.09;355.12;461;138.9109;196.3176;1;5;224
2019-05-20 09:15:00;1558336500;"Partly Cloudy";"partly-cloudy-day";0.054625;0.0775;16.6525;16.6525;12.61;0.7725;1006.1075;4.02;7.7725;210;0.22;3.5;16.09;354.51;478;149.3185;208.1255;1;5;213
2019-05-20 09:30:00;1558337400;"Partly Cloudy";"partly-cloudy-day";0.04065;0.065;17.005;17.005;12.58;0.755;1006.185;4.21;7.705;213;0.18;4;16.09;353.9;493;159.2993;219.3936;1;5;220
2019-05-20 09:45:00;1558338300;"Partly Cloudy";"partly-cloudy-day";0.026675;0.0525;17.3575;17.3575;12.55;0.7375;1006.2625;4.4;7.6375;216;0.14;4.5;16.09;353.29;497;168.7972;230.0739;1;5;237
2019-05-20 10:00:00;1558339200;"Clear";"clear-day";0.0127;0.04;17.71;17.71;12.52;0.72;1006.34;4.59;7.57;219;0.1;5;16.09;352.68;497;177.7608;240.1206;1;5;303
2019-05-20 10:15:00;1558340100;"Clear";"clear-day";0.009525;0.03;18.0425;18.0425;12.485;0.7025;1006.3925;4.725;7.54;221;0.075;5.25;16.09;352.075;497;186.1427;249.4908;1;5;330
2019-05-20 10:30:00;1558341000;"Clear";"clear-day";0.00635;0.02;18.375;18.375;12.45;0.685;1006.445;4.86;7.51;223;0.05;5.5;16.09;351.47;497;193.9001;258.1444;1;5;350
