"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"datetime.Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-06-04 00:00:00;1559599200;"Mostly Cloudy";"partly-cloudy-night";0;0;17.24;17.24;14.48;0.84;1014.3;1.27;1.85;355;0.9;0;16.09;340.23;"2019-06-04 00:00:00;0";0;0;1;6;0
2019-06-04 00:15:00;1559600100;"Mostly Cloudy";"partly-cloudy-night";0.00255;0.0075;17.1375;17.1375;14.475;0.845;1014.255;1.285;1.875;353.25;0.905;0;16.09;340.2875;"2019-06-04 00:15:00;0";0;0;1;6;0
2019-06-04 00:30:00;1559601000;"Mostly Cloudy";"partly-cloudy-night";0.0051;0.015;17.035;17.035;14.47;0.85;1014.21;1.3;1.9;351.5;0.91;0;16.09;340.345;"2019-06-04 00:30:00;0";0;0;1;6;0
2019-06-04 00:45:00;1559601900;"Mostly Cloudy";"partly-cloudy-night";0.00765;0.0225;16.9325;16.9325;14.465;0.855;1014.165;1.315;1.925;349.75;0.915;0;16.09;340.4025;"2019-06-04 00:45:00;0";0;0;1;6;0
2019-06-04 01:00:00;1559602800;"Mostly Cloudy";"partly-cloudy-night";0.0102;0.03;16.83;16.83;14.46;0.86;1014.12;1.33;1.95;348;0.92;0;16.09;340.46;"2019-06-04 01:00:00;0";0;0;1;6;0
2019-06-04 01:15:00;1559603700;"Mostly Cloudy";"partly-cloudy-night";0.01145;0.0275;16.6875;16.6875;14.44;0.8675;1014.0675;1.3425;1.97;346;0.9225;0;16.09;340.49;"2019-06-04 01:15:00;0";0;0;1;6;0
2019-06-04 01:30:00;1559604600;"Mostly Cloudy";"partly-cloudy-night";0.0127;0.025;16.545;16.545;14.42;0.875;1014.015;1.355;1.99;344;0.925;0;16.09;340.52;"2019-06-04 01:30:00;0";0;0;1;6;0
2019-06-04 01:45:00;1559605500;"Mostly Cloudy";"partly-cloudy-night";0.01395;0.0225;16.4025;16.4025;14.4;0.8825;1013.9625;1.3675;2.01;342;0.9275;0;16.09;340.55;"2019-06-04 01:45:00;0";0;0;1;6;0
2019-06-04 02:00:00;1559606400;"Mostly Cloudy";"partly-cloudy-night";0.0152;0.02;16.26;16.26;14.38;0.89;1013.91;1.38;2.03;340;0.93;0;16.09;340.58;"2019-06-04 02:00:00;0";0;0;1;6;0
2019-06-04 02:15:00;1559607300;"Mostly Cloudy";"partly-cloudy-night";0.01395;0.02;16.0675;16.0675;14.3075;0.895;1013.8625;1.3825;2.0475;339;0.9175;0;16.09;340.535;"2019-06-04 02:15:00;0";0;0;1;6;0
2019-06-04 02:30:00;1559608200;"Mostly Cloudy";"partly-cloudy-night";0.0127;0.02;15.875;15.875;14.235;0.9;1013.815;1.385;2.065;338;0.905;0;16.09;340.49;"2019-06-04 02:30:00;0";0;0;1;6;0
2019-06-04 02:45:00;1559609100;"Mostly Cloudy";"partly-cloudy-night";0.01145;0.02;15.6825;15.6825;14.1625;0.905;1013.7675;1.3875;2.0825;337;0.8925;0;16.09;340.445;"2019-06-04 02:45:00;0";0;0;1;6;0
2019-06-04 03:00:00;1559610000;"Mostly Cloudy";"partly-cloudy-night";0.0102;0.02;15.49;15.49;14.09;0.91;1013.72;1.39;2.1;336;0.88;0;16.09;340.4;"2019-06-04 03:00:00;0";0;0;1;6;0
2019-06-04 03:15:00;1559610900;"Mostly Cloudy";"partly-cloudy-night";0.00765;0.015;15.315;15.315;14.01;0.9175;1013.6625;1.3925;2.1125;335.25;0.8625;0;16.09;340.2875;"2019-06-04 03:15:00;0";0;0;1;6;0
2019-06-04 03:30:00;1559611800;"Mostly Cloudy";"partly-cloudy-night";0.0051;0.01;15.14;15.14;13.93;0.925;1013.605;1.395;2.125;334.5;0.845;0;16.09;340.175;"2019-06-04 03:30:00;0";0;0;1;6;0
2019-06-04 03:45:00;1559612700;"Mostly Cloudy";"partly-cloudy-night";0.00255;0.005;14.965;14.965;13.85;0.9325;1013.5475;1.3975;2.1375;333.75;0.8275;0;16.09;340.0625;"2019-06-04 03:45:00;0";0;0;1;6;0
2019-06-04 04:00:00;1559613600;"Mostly Cloudy";"partly-cloudy-night";0;0;14.79;14.79;13.77;0.94;1013.49;1.4;2.15;333;0.81;0;16.09;339.95;"2019-06-04 04:00:00;0";0;0;1;6;0
2019-06-04 04:15:00;1559614500;"Mostly Cloudy";"partly-cloudy-night";0;0;14.82;14.82;13.77;0.9375;1013.4575;1.41;2.1675;331.75;0.8;0;16.09;339.87;"2019-06-04 04:15:00;0";0;0;1;6;0
2019-06-04 04:30:00;1559615400;"Mostly Cloudy";"partly-cloudy-night";0;0;14.85;14.85;13.77;0.935;1013.425;1.42;2.185;330.5;0.79;0;16.09;339.79;"2019-06-04 04:30:00;0";0;0;1;6;0
2019-06-04 04:45:00;1559616300;"Mostly Cloudy";"partly-cloudy-night";0;0;14.88;14.88;13.77;0.9325;1013.3925;1.43;2.2025;329.25;0.78;0;16.09;339.71;"2019-06-04 04:45:00;0";0;0;1;6;0
2019-06-04 05:00:00;1559617200;"Mostly Cloudy";"partly-cloudy-night";0;0;14.91;14.91;13.77;0.93;1013.36;1.44;2.22;328;0.77;0;16.09;339.63;"2019-06-04 05:00:00;0";0;0;1;6;0
2019-06-04 05:15:00;1559618100;"Mostly Cloudy";"partly-cloudy-night";0;0;15.1875;15.1875;13.925;0.9225;1013.36;1.4625;2.2275;326.5;0.775;0;16.09;339.5575;"2019-06-04 05:15:00;9";0.5622;2.5072;1;6;2
2019-06-04 05:30:00;1559619000;"Mostly Cloudy";"partly-cloudy-night";0;0;15.465;15.465;14.08;0.915;1013.36;1.485;2.235;325;0.78;0;16.09;339.485;"2019-06-04 05:30:00;34";4.2423;14.438;1;6;11
2019-06-04 05:45:00;1559619900;"Mostly Cloudy";"partly-cloudy-night";0;0;15.7425;15.7425;14.235;0.9075;1013.36;1.5075;2.2425;323.5;0.785;0;16.09;339.4125;"2019-06-04 05:45:00;60";10.1014;27.5412;1;6;18
2019-06-04 06:00:00;1559620800;"Mostly Cloudy";"partly-cloudy-day";0;0;16.02;16.02;14.39;0.9;1013.36;1.53;2.25;322;0.79;0;16.09;339.34;"2019-06-04 06:00:00;87";17.5152;40.9159;1;6;16
2019-06-04 06:15:00;1559621700;"Mostly Cloudy";"partly-cloudy-day";0;0;16.5275;16.5425;14.6275;0.885;1013.38;1.5575;2.265;320.25;0.8025;0.25;16.09;339.2825;"2019-06-04 06:15:00;113";26.1028;54.5048;1;6;20
2019-06-04 06:30:00;1559622600;"Mostly Cloudy";"partly-cloudy-day";0;0;17.035;17.065;14.865;0.87;1013.4;1.585;2.28;318.5;0.815;0.5;16.09;339.225;"2019-06-04 06:30:00;140";35.5706;68.2497;1;6;25
2019-06-04 06:45:00;1559623500;"Mostly Cloudy";"partly-cloudy-day";0;0;17.5425;17.5875;15.1025;0.855;1013.42;1.6125;2.295;316.75;0.8275;0.75;16.09;339.1675;"2019-06-04 06:45:00;167";45.6901;82.0919;1;6;31
2019-06-04 07:00:00;1559624400;"Mostly Cloudy";"partly-cloudy-day";0;0;18.05;18.11;15.34;0.84;1013.44;1.64;2.31;315;0.84;1;16.09;339.11;"2019-06-04 07:00:00;194";56.2794;95.972;1;6;36
2019-06-04 07:15:00;1559625300;"Mostly Cloudy";"partly-cloudy-day";0.003175;0.01;18.51;18.5875;15.565;0.8275;1013.445;1.685;2.385;314.25;0.8525;1;16.09;339.065;"2019-06-04 07:15:00;221";67.1906;109.8306;1;6;54
2019-06-04 07:30:00;1559626200;"Mostly Cloudy";"partly-cloudy-day";0.00635;0.02;18.97;19.065;15.79;0.815;1013.45;1.73;2.46;313.5;0.865;1;16.09;339.02;"2019-06-04 07:30:00;248";78.2995;123.6086;1;6;65
2019-06-04 07:45:00;1559627100;"Mostly Cloudy";"partly-cloudy-day";0.009525;0.03;19.43;19.5425;16.015;0.8025;1013.455;1.775;2.535;312.75;0.8775;1;16.09;338.975;"2019-06-04 07:45:00;274";89.4993;137.2468;1;6;79
2019-06-04 08:00:00;1559628000;"Mostly Cloudy";"partly-cloudy-day";0.0127;0.04;19.89;20.02;16.24;0.79;1013.46;1.82;2.61;312;0.89;1;16.09;338.93;"2019-06-04 08:00:00;300";100.6962;150.687;1;6;93
2019-06-04 08:15:00;1559628900;"Mostly Cloudy";"partly-cloudy-day";0.028575;0.0575;20.275;20.42;16.43;0.7825;1013.4325;1.9;2.8025;312.25;0.9;1.25;16.09;338.9175;"2019-06-04 08:15:00;325";111.7973;163.8715;1;6;105
2019-06-04 08:30:00;1559629800;"Mostly Cloudy";"partly-cloudy-day";0.04445;0.075;20.66;20.82;16.62;0.775;1013.405;1.98;2.995;312.5;0.91;1.5;16.09;338.905;"2019-06-04 08:30:00;349";122.7245;176.7441;1;6;117
2019-06-04 08:45:00;1559630700;"Mostly Cloudy";"partly-cloudy-day";0.060325;0.0925;21.045;21.22;16.81;0.7675;1013.3775;2.06;3.1875;312.75;0.92;1.75;16.09;338.8925;"2019-06-04 08:45:00;373";133.416;189.2495;1;6;127
2019-06-04 09:00:00;1559631600;"Mostly Cloudy";"partly-cloudy-day";0.0762;0.11;21.43;21.62;17;0.76;1013.35;2.14;3.38;313;0.93;2;16.09;338.88;"2019-06-04 09:00:00;395";143.8072;201.3343;1;6;129
