"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"precipType";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"predicted_P"
2019-03-20 00:00:00;1553036400;"Overcast";"cloudy";0;0;"rain";5.56;2.93;-2.09;0.58;1029.1;3.36;9.63;5;0.96;0;16.09;354.85;0;0;0;1;0
2019-03-20 00:15:00;1553037300;"Overcast";"cloudy";0;0;"rain";5.53;2.87;-2.115;0.58;1029.2075;3.395;9.66;5;0.955;0;16.09;354.22;0;0;0;1;0
2019-03-20 00:30:00;1553038200;"Overcast";"cloudy";0;0;"rain";5.5;2.81;-2.14;0.58;1029.315;3.43;9.69;5;0.95;0;16.09;353.59;0;0;0;1;0
2019-03-20 00:45:00;1553039100;"Overcast";"cloudy";0;0;"rain";5.47;2.75;-2.165;0.58;1029.4225;3.465;9.72;5;0.945;0;16.09;352.96;0;0;0;1;0
2019-03-20 01:00:00;1553040000;"Overcast";"cloudy";0;0;"rain";5.44;2.69;-2.19;0.58;1029.53;3.5;9.75;5;0.94;0;16.09;352.33;0;0;0;1;0
2019-03-20 01:15:00;1553040900;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.3775;2.61;-2.2475;0.58;1029.5975;3.51;9.715;4.5;0.925;0;16.09;351.645;0;0;0;1;0
2019-03-20 01:30:00;1553041800;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.315;2.53;-2.305;0.58;1029.665;3.52;9.68;4;0.91;0;16.09;350.96;0;0;0;1;0
2019-03-20 01:45:00;1553042700;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.2525;2.45;-2.3625;0.58;1029.7325;3.53;9.645;3.5;0.895;0;16.09;350.275;0;0;0;1;0
2019-03-20 02:00:00;1553043600;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.19;2.37;-2.42;0.58;1029.8;3.54;9.61;3;0.88;0;16.09;349.59;0;0;0;1;0
2019-03-20 02:15:00;1553044500;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.1025;2.2625;-2.4875;0.58;1029.8425;3.5425;9.5175;2.75;0.86;0;16.09;348.8675;0;0;0;1;0
2019-03-20 02:30:00;1553045400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";5.015;2.155;-2.555;0.58;1029.885;3.545;9.425;2.5;0.84;0;16.09;348.145;0;0;0;1;0
2019-03-20 02:45:00;1553046300;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.9275;2.0475;-2.6225;0.58;1029.9275;3.5475;9.3325;2.25;0.82;0;16.09;347.4225;0;0;0;1;0
2019-03-20 03:00:00;1553047200;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.84;1.94;-2.69;0.58;1029.97;3.55;9.24;2;0.8;0;16.09;346.7;0;0;0;1;0
2019-03-20 03:15:00;1553048100;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.715;1.79;-2.7225;0.585;1030.04;3.5475;9.115;2;0.7775;0;16.09;346.025;0;0;0;1;0
2019-03-20 03:30:00;1553049000;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.59;1.64;-2.755;0.59;1030.11;3.545;8.99;2;0.755;0;16.09;345.35;0;0;0;1;0
2019-03-20 03:45:00;1553049900;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.465;1.49;-2.7875;0.595;1030.18;3.5425;8.865;2;0.7325;0;16.09;344.675;0;0;0;1;0
2019-03-20 04:00:00;1553050800;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.34;1.34;-2.82;0.6;1030.25;3.54;8.74;2;0.71;0;16.09;344;0;0;0;1;0
2019-03-20 04:15:00;1553051700;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.21;1.1875;-2.7875;0.605;1030.3725;3.53;8.575;2.5;0.6825;0;16.09;343.415;0;0;0;1;0
2019-03-20 04:30:00;1553052600;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";4.08;1.035;-2.755;0.61;1030.495;3.52;8.41;3;0.655;0;16.09;342.83;0;0;0;1;0
2019-03-20 04:45:00;1553053500;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";3.95;0.8825;-2.7225;0.615;1030.6175;3.51;8.245;3.5;0.6275;0;16.09;342.245;0;0;0;1;0
2019-03-20 05:00:00;1553054400;"Mostly Cloudy";"partly-cloudy-night";0;0;"rain";3.82;0.73;-2.69;0.62;1030.74;3.5;8.08;4;0.6;0;16.09;341.66;0;0;0;1;0
2019-03-20 05:15:00;1553055300;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.725;0.6225;-2.625;0.6275;1030.895;3.49;7.885;5;0.57;0;16.09;341.11;0;0;0;1;0
2019-03-20 05:30:00;1553056200;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.63;0.515;-2.56;0.635;1031.05;3.48;7.69;6;0.54;0;16.09;340.56;0;0;0;1;0
2019-03-20 05:45:00;1553057100;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.535;0.4075;-2.495;0.6425;1031.205;3.47;7.495;7;0.51;0;16.09;340.01;0;0;0;1;0
2019-03-20 06:00:00;1553058000;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.44;0.3;-2.43;0.65;1031.36;3.46;7.3;8;0.48;0;16.09;339.46;14;0.0962;0.4744;1;13
2019-03-20 06:15:00;1553058900;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.525;0.4075;-2.3575;0.65;1031.5;3.45;7.11;9.5;0.45;0;16.09;338.8775;43;3.0926;11.7383;1;22
2019-03-20 06:30:00;1553059800;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.61;0.515;-2.285;0.65;1031.64;3.44;6.92;11;0.42;0;16.09;338.295;72;9.1625;27.3021;1;40
2019-03-20 06:45:00;1553060700;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.695;0.6225;-2.2125;0.65;1031.78;3.43;6.73;12.5;0.39;0;16.09;337.7125;100;17.0669;42.7491;1;52
2019-03-20 07:00:00;1553061600;"Partly Cloudy";"partly-cloudy-day";0;0;"rain";3.78;0.73;-2.14;0.65;1031.92;3.42;6.54;14;0.36;0;16.09;337.13;128;26.2957;58.0131;1;75
2019-03-20 07:15:00;1553062500;"Clear";"clear-day";0;0;"rain";4.2125;1.2525;-2.0625;0.635;1032.0375;3.425;6.3575;16.75;0.3275;0.25;16.09;336.4575;155;36.4688;73.0289;1;59
2019-03-20 07:30:00;1553063400;"Clear";"clear-day";0;0;"rain";4.645;1.775;-1.985;0.62;1032.155;3.43;6.175;19.5;0.295;0.5;16.09;335.785;181;47.2716;87.7323;1;86
2019-03-20 07:45:00;1553064300;"Clear";"clear-day";0;0;"rain";5.0775;2.2975;-1.9075;0.605;1032.2725;3.435;5.9925;22.25;0.2625;0.75;16.09;335.1125;207;58.4169;102.0602;1;153
2019-03-20 08:00:00;1553065200;"Clear";"clear-day";0;0;"rain";5.51;2.82;-1.83;0.59;1032.39;3.44;5.81;25;0.23;1;16.09;334.44;231;69.6833;115.9514;1;170
2019-03-20 08:15:00;1553066100;"Clear";"clear-day";0;0;"rain";6.08;3.5075;-1.7575;0.5725;1032.5025;3.4475;5.635;28.5;0.1975;1.25;16.09;333.715;255;80.89;129.3465;1;195
2019-03-20 08:30:00;1553067000;"Clear";"clear-day";0;0;"rain";6.65;4.195;-1.685;0.555;1032.615;3.455;5.46;32;0.165;1.5;16.09;332.99;277;91.8881;142.1881;1;225
