"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"precipType";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-05 00:00:00;1554415200;"Clear";"clear-night";0;0;13.16;13.16;3.15;0.51;1005.35;4.53;9.75;147;0;0;16.09;364.33;"rain";0;0;0;1;4;0
2019-04-05 00:15:00;1554416100;"Clear";"clear-night";0;0;13.0275;13.0275;3.1025;0.5125;1005.315;4.585;10.2175;145.25;0.01;0;16.09;364.1875;"rain";0;0;0;1;4;0
2019-04-05 00:30:00;1554417000;"Clear";"clear-night";0;0;12.895;12.895;3.055;0.515;1005.28;4.64;10.685;143.5;0.02;0;16.09;364.045;"rain";0;0;0;1;4;0
2019-04-05 00:45:00;1554417900;"Clear";"clear-night";0;0;12.7625;12.7625;3.0075;0.5175;1005.245;4.695;11.1525;141.75;0.03;0;16.09;363.9025;"rain";0;0;0;1;4;0
2019-04-05 01:00:00;1554418800;"Clear";"clear-night";0;0;12.63;12.63;2.96;0.52;1005.21;4.75;11.62;140;0.04;0;16.09;363.76;"rain";0;0;0;1;4;0
2019-04-05 01:15:00;1554419700;"Clear";"clear-night";0;0;12.515;12.515;2.9125;0.5225;1005.165;4.82;11.9875;138.5;0.0575;0;16.09;363.77;"rain";0;0;0;1;4;0
2019-04-05 01:30:00;1554420600;"Clear";"clear-night";0;0;12.4;12.4;2.865;0.525;1005.12;4.89;12.355;137;0.075;0;16.09;363.78;"rain";0;0;0;1;4;0
2019-04-05 01:45:00;1554421500;"Clear";"clear-night";0;0;12.285;12.285;2.8175;0.5275;1005.075;4.96;12.7225;135.5;0.0925;0;16.09;363.79;"rain";0;0;0;1;4;0
2019-04-05 02:00:00;1554422400;"Clear";"clear-night";0;0;12.17;12.17;2.77;0.53;1005.03;5.03;13.09;134;0.11;0;16.09;363.8;"rain";0;0;0;1;4;0
2019-04-05 02:15:00;1554423300;"Clear";"clear-night";0;0;12.08;12.08;2.7125;0.53;1004.965;5.115;13.265;132.75;0.135;0;16.09;364.045;"rain";0;0;0;1;4;0
2019-04-05 02:30:00;1554424200;"Clear";"clear-night";0;0;11.99;11.99;2.655;0.53;1004.9;5.2;13.44;131.5;0.16;0;16.09;364.29;"rain";0;0;0;1;4;0
2019-04-05 02:45:00;1554425100;"Clear";"clear-night";0;0;11.9;11.9;2.5975;0.53;1004.835;5.285;13.615;130.25;0.185;0;16.09;364.535;"rain";0;0;0;1;4;0
2019-04-05 03:00:00;1554426000;"Clear";"clear-night";0;0;11.81;11.81;2.54;0.53;1004.77;5.37;13.79;129;0.21;0;16.09;364.78;"rain";0;0;0;1;4;0
2019-04-05 03:15:00;1554426900;"Partly Cloudy";"partly-cloudy-night";0;0;11.755;11.755;2.4875;0.53;1004.6875;5.4725;13.8575;128.25;0.24;0;16.09;365.185;"rain";0;0;0;1;4;0
2019-04-05 03:30:00;1554427800;"Partly Cloudy";"partly-cloudy-night";0;0;11.7;11.7;2.435;0.53;1004.605;5.575;13.925;127.5;0.27;0;16.09;365.59;"rain";0;0;0;1;4;0
2019-04-05 03:45:00;1554428700;"Partly Cloudy";"partly-cloudy-night";0;0;11.645;11.645;2.3825;0.53;1004.5225;5.6775;13.9925;126.75;0.3;0;16.09;365.995;"rain";0;0;0;1;4;0
2019-04-05 04:00:00;1554429600;"Partly Cloudy";"partly-cloudy-night";0;0;11.59;11.59;2.33;0.53;1004.44;5.78;14.06;126;0.33;0;16.09;366.4;"rain";0;0;0;1;4;0
2019-04-05 04:15:00;1554430500;"Partly Cloudy";"partly-cloudy-night";0;0;11.62;11.62;2.3225;0.5275;1004.37;5.895;14.1225;125.25;0.3575;0;16.09;366.855;"rain";0;0;0;1;4;0
2019-04-05 04:30:00;1554431400;"Partly Cloudy";"partly-cloudy-night";0;0;11.65;11.65;2.315;0.525;1004.3;6.01;14.185;124.5;0.385;0;16.09;367.31;"rain";0;0;0;1;4;0
