"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"precipType";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-04-12 00:00:00;1555020000;"Light Rain";"rain";0.8712;0.72;"rain";9.01;6.34;7.37;0.89;1012.48;5.04;10.37;352;1;0;15.93;354.36;0;0;0;1;4;0
2019-04-12 00:15:00;1555020900;"Light Rain";"rain";0.87565;0.725;"rain";8.94;6.26;7.31;0.8925;1012.515;5.02;10.1825;352.5;1;0;15.97;354.75;0;0;0;1;4;0
2019-04-12 00:30:00;1555021800;"Light Rain";"rain";0.8801;0.73;"rain";8.87;6.18;7.25;0.895;1012.55;5;9.995;353;1;0;16.01;355.14;0;0;0;1;4;0
2019-04-12 00:45:00;1555022700;"Light Rain";"rain";0.88455;0.735;"rain";8.8;6.1;7.19;0.8975;1012.585;4.98;9.8075;353.5;1;0;16.05;355.53;0;0;0;1;4;0
2019-04-12 01:00:00;1555023600;"Light Rain";"rain";0.889;0.74;"rain";8.73;6.02;7.13;0.9;1012.62;4.96;9.62;354;1;0;16.09;355.92;0;0;0;1;4;0
2019-04-12 01:15:00;1555024500;"Light Rain";"rain";0.936625;0.7425;"rain";8.6525;5.9275;7.0625;0.9;1012.6425;4.95;9.505;354;1;0;16.09;356.255;0;0;0;1;4;0
2019-04-12 01:30:00;1555025400;"Light Rain";"rain";0.98425;0.745;"rain";8.575;5.835;6.995;0.9;1012.665;4.94;9.39;354;1;0;16.09;356.59;0;0;0;1;4;0
2019-04-12 01:45:00;1555026300;"Light Rain";"rain";1.031875;0.7475;"rain";8.4975;5.7425;6.9275;0.9;1012.6875;4.93;9.275;354;1;0;16.09;356.925;0;0;0;1;4;0
2019-04-12 02:00:00;1555027200;"Light Rain";"rain";1.0795;0.75;"rain";8.42;5.65;6.86;0.9;1012.71;4.92;9.16;354;1;0;16.09;357.26;0;0;0;1;4;0
2019-04-12 02:15:00;1555028100;"Light Rain";"rain";1.1284;0.755;"rain";8.34;5.5425;6.78;0.9;1012.72;4.935;9.2125;354.25;1;0;16.09;357.53;0;0;0;1;4;0
2019-04-12 02:30:00;1555029000;"Light Rain";"rain";1.1773;0.76;"rain";8.26;5.435;6.7;0.9;1012.73;4.95;9.265;354.5;1;0;16.09;357.8;0;0;0;1;4;0
2019-04-12 02:45:00;1555029900;"Light Rain";"rain";1.2262;0.765;"rain";8.18;5.3275;6.62;0.9;1012.74;4.965;9.3175;354.75;1;0;16.09;358.07;0;0;0;1;4;0
2019-04-12 03:00:00;1555030800;"Light Rain";"rain";1.2751;0.77;"rain";8.1;5.22;6.54;0.9;1012.75;4.98;9.37;355;1;0;16.09;358.34;0;0;0;1;4;0
2019-04-12 03:15:00;1555031700;"Rain";"rain";1.377975;0.7775;"rain";7.9975;5.085;6.4525;0.9;1012.8225;4.99;9.4975;354.75;1;0;16.0375;358.555;0;0;0;1;4;0
2019-04-12 03:30:00;1555032600;"Rain";"rain";1.48085;0.785;"rain";7.895;4.95;6.365;0.9;1012.895;5;9.625;354.5;1;0;15.985;358.77;0;0;0;1;4;0
2019-04-12 03:45:00;1555033500;"Rain";"rain";1.583725;0.7925;"rain";7.7925;4.815;6.2775;0.9;1012.9675;5.01;9.7525;354.25;1;0;15.9325;358.985;0;0;0;1;4;0
2019-04-12 04:00:00;1555034400;"Rain";"rain";1.6866;0.8;"rain";7.69;4.68;6.19;0.9;1013.04;5.02;9.88;354;1;0;15.88;359.2;0;0;0;1;4;0
2019-04-12 04:15:00;1555035300;"Rain";"rain";1.72025;0.805;"rain";7.5975;4.555;6.11;0.9025;1013.0625;5.0425;9.9675;354.25;0.9975;0;14.9525;359.3475;0;0;0;1;4;0
2019-04-12 04:30:00;1555036200;"Rain";"rain";1.7539;0.81;"rain";7.505;4.43;6.03;0.905;1013.085;5.065;10.055;354.5;0.995;0;14.025;359.495;0;0;0;1;4;0
2019-04-12 04:45:00;1555037100;"Rain";"rain";1.78755;0.815;"rain";7.4125;4.305;5.95;0.9075;1013.1075;5.0875;10.1425;354.75;0.9925;0;13.0975;359.6425;0;0;0;1;4;0
2019-04-12 05:00:00;1555038000;"Rain";"rain";1.8212;0.82;"rain";7.32;4.18;5.87;0.91;1013.13;5.11;10.23;355;0.99;0;12.17;359.79;0;0;0;1;4;0
2019-04-12 05:15:00;1555038900;"Rain";"rain";1.773575;0.82;"rain";7.225;4.05;5.8;0.91;1013.1675;5.145;10.24;355;0.99;0;11.75;359.86;4;0;0;1;4;0
2019-04-12 05:30:00;1555039800;"Rain";"rain";1.72595;0.82;"rain";7.13;3.92;5.73;0.91;1013.205;5.18;10.25;355;0.99;0;11.33;359.93;29;0;0;1;4;0
2019-04-12 05:45:00;1555040700;"Rain";"rain";1.678325;0.82;"rain";7.035;3.79;5.66;0.91;1013.2425;5.215;10.26;355;0.99;0;10.91;360;58;0;0;1;4;0
2019-04-12 06:00:00;1555041600;"Rain";"rain";1.6307;0.82;"rain";6.94;3.66;5.59;0.91;1013.28;5.25;10.27;355;0.99;0;10.49;360.07;87;0;0;1;4;0
2019-04-12 06:15:00;1555042500;"Light Rain";"rain";1.5583;0.8225;"rain";6.8525;3.535;5.53;0.9125;1013.3325;5.285;10.2425;355.25;0.9925;0;10.2575;360.0775;116;0.0423;0.1991;1;4;1
2019-04-12 06:30:00;1555043400;"Light Rain";"rain";1.4859;0.825;"rain";6.765;3.41;5.47;0.915;1013.385;5.32;10.215;355.5;0.995;0;10.025;360.085;144;2.9997;10.0499;1;4;2
