"datetime";"time";"summary";"icon";"precipIntensity";"precipProbability";"temperature";"apparentTemperature";"dewPoint";"humidity";"pressure";"windSpeed";"windGust";"windBearing";"cloudCover";"uvIndex";"visibility";"ozone";"Rad";"GHI";"TOA";"ForecastOrNot";"month";"predicted_P"
2019-05-16 00:00:00;1557957600;"Overcast";"cloudy";0.1397;0.28;7.83;5.41;7.33;0.97;1014.67;3.84;8.85;325;1;0;14.97;381.86;0;0;0;1;5;0
2019-05-16 00:15:00;1557958500;"Overcast";"cloudy";0.13335;0.27;7.79;5.39;7.3375;0.9725;1014.6;3.7925;8.5675;305.75;1;0;14.8325;381.1775;0;0;0;1;5;0
2019-05-16 00:30:00;1557959400;"Overcast";"cloudy";0.127;0.26;7.75;5.37;7.345;0.975;1014.53;3.745;8.285;286.5;1;0;14.695;380.495;0;0;0;1;5;0
2019-05-16 00:45:00;1557960300;"Overcast";"cloudy";0.12065;0.25;7.71;5.35;7.3525;0.9775;1014.46;3.6975;8.0025;267.25;1;0;14.5575;379.8125;0;0;0;1;5;0
2019-05-16 01:00:00;1557961200;"Overcast";"cloudy";0.1143;0.24;7.67;5.33;7.36;0.98;1014.39;3.65;7.72;248;1;0;14.42;379.13;0;0;0;1;5;0
2019-05-16 01:15:00;1557962100;"Overcast";"cloudy";0.109225;0.2325;7.635;5.28;7.355;0.9825;1014.34;3.655;7.5175;254.75;1;0;14.42;378.5475;0;0;0;1;5;0
2019-05-16 01:30:00;1557963000;"Overcast";"cloudy";0.10415;0.225;7.6;5.23;7.35;0.985;1014.29;3.66;7.315;261.5;1;0;14.42;377.965;0;0;0;1;5;0
2019-05-16 01:45:00;1557963900;"Overcast";"cloudy";0.099075;0.2175;7.565;5.18;7.345;0.9875;1014.24;3.665;7.1125;268.25;1;0;14.42;377.3825;0;0;0;1;5;0
2019-05-16 02:00:00;1557964800;"Overcast";"cloudy";0.094;0.21;7.53;5.13;7.34;0.99;1014.19;3.67;6.91;275;1;0;14.42;376.8;0;0;0;1;5;0
2019-05-16 02:15:00;1557965700;"Overcast";"cloudy";0.088925;0.205;7.4875;5.1275;7.31;0.99;1014.1675;3.5875;6.895;267.5;0.995;0;14.755;376.5125;0;0;0;1;5;0
2019-05-16 02:30:00;1557966600;"Overcast";"cloudy";0.08385;0.2;7.445;5.125;7.28;0.99;1014.145;3.505;6.88;260;0.99;0;15.09;376.225;0;0;0;1;5;0
